Total rows in Haiku_Scan_Master: 46
ID: TSP-LST-FAU-001 | Title TH: 'องค์มกรคายนาค' | Folder in Drive: 'มกร' | Doc: 'มกร_มกร.jpg.docx'
ID: TSP-LST-SAC-018 | Title TH: 'พระเกตุมาลา' | Folder in Drive: 'พระเกตุมาลา' | Doc: 'พระเกตุมาลา_การวิเคราะห์เชิงวิชาการตามระเบียบวิธีวิจัยของโครงการ Thai Symbol Pattern Lab.docx'
ID: TSP-LST-SAC-019 | Title TH: 'ต่อยมวย' | Folder in Drive: 'ต่อยมวย' | Doc: 'ต่อยมวย_วิเคราะห์ต่อมวย.docx'
ID: TSP-LST-SAC-020 | Title TH: 'เม็ดสร้อยสังวาลพระพุทธชินราช' | Folder in Drive: 'สังวาลพระพุทธชินราช' | Doc: 'สังวาลพระพุทธชินราช_บทวิเคราะห์หน่วยย่อยลวดลาย.docx'
ID: TSP-LST-GEO-009 | Title TH: 'ลายคลื่นและลายก้านขดบนเครื่องปั้นดินเผา' | Folder in Drive: 'เครื่องปั้นดินเผา' | Doc: 'เครื่องปั้นดินเผา_การวิเคราะห์เชิงวิชาการตามระเบียบวิธีวิจัยของโครงการ Thai Symbol Pattern Lab.docx'
ID: TSP-LST-GEO-010 | Title TH: 'กระจังเข็ม' | Folder in Drive: 'กระจังเข็ม' | Doc: 'กระจังเข็ม_บทวิเคราะห์ทางวิชาการนี้ประยุกต์ใช้กรอบแนวคิด TSPL Pattern Taxonomy และ ทฤษฎีภาพลักษณ์.docx'
ID: TSP-LST-GEO-011 | Title TH: 'ลายหางสะเปา' | Folder in Drive: 'ลายหางสะเปา' | Doc: 'ลายหางสะเปา_จากการวิเคราะห์ภาพหางสะเปา.docx'
ID: TSP-LST-GEO-012 | Title TH: 'ลายแถบสามเหลี่ยมปะสลับสี' | Folder in Drive: 'ลายฟันปลาขอบหมอนไทดำ' | Doc: 'ลายฟันปลาขอบหมอนไทดำ_การวิเคราะห์ภาพลายฟันปลาขอบหมอนไทดำ.docx'
ID: TSP-LST-GEO-013 | Title TH: 'ลายพีระมิดเพชรผ้าปะสลับสี' | Folder in Drive: 'ลายพีระมิดเพชรผ้าปะสลับสี' | Doc: 'ลายพีระมิดเพชรผ้าปะสลับสี_การวิเคราะห์ภาพลายพีระมิดเพชรผ้าปะสลับสี .docx'
ID: TSP-LST-GEO-014 | Title TH: 'ลายหน้าหมอนขิดไทพวน' | Folder in Drive: 'หมอนไทพวน' | Doc: 'หมอนไทพวน_การวิเคราะห์วัตถุวัฒนธรรมสิ่งทอจากไฟล์ภาพ DSC04319.docx'
ID: TSP-LST-GEO-015 | Title TH: 'ลายสามเหลี่ยมฟันปลา' | Folder in Drive: 'ลายสามเหลี่ยม:ฟันปลา' | Doc: 'ลายสามเหลี่ยม:ฟันปลา_9.2 แบบฟอร์มแฟกต์ชีต-สามเหลี่ยม:ฟันปลา.docx'
ID: TSP-LST-GEO-016 | Title TH: 'ลายขิดริ้วคั่นซิ่นไทพวน' | Folder in Drive: 'ลายขิดริ้วคั่นซิ่นไทพวน' | Doc: 'ลายขิดริ้วคั่นซิ่นไทพวน_ลายขิดริ้วคั่นซิ่นไทพวน.docx'
ID: TSP-LST-GEO-017 | Title TH: 'ลายหน้าหมอนดอกแก้วไทพวน' | Folder in Drive: 'ลายดอกแก้ว' | Doc: 'ลายดอกแก้ว_การวิเคราะห์ลายหน้าหมอนดอกแก้วไฟล์ภาพ DSC04319.docx'
ID: TSP-LST-GEO-018 | Title TH: 'ลายขิดสร้อยสา' | Folder in Drive: 'ลายสร้อยสา' | Doc: 'ลายสร้อยสา_การวิเคราะห์ผลิตภัณฑ์สิ่งทอจากไฟล์ภาพ DSC04311.docx'
ID: TSP-LST-GEO-019 | Title TH: 'ลายดาวแปดแฉกผ้าปะไทดำ' | Folder in Drive: 'ลายดาวแปดแฉกผ้าปะไทดำ' | Doc: 'ลายดาวแปดแฉกผ้าปะไทดำ_การวิเคราะห์ภาพลายดาวแปดแฉกผ้าปะไทดำ.docx'
ID: TSP-LST-GEO-020 | Title TH: 'ลายขิดดอกในตารางสี่เหลี่ยม' | Folder in Drive: 'ผ้าทอขิดตารางสี่เหลี่ยมสลับลายขิดดอก' | Doc: 'ผ้าทอขิดตารางสี่เหลี่ยมสลับลายขิดดอก_การวิเคราะห์สิ่งทอจากไฟล์ภาพ DSC04311.docx'
ID: TSP-LST-GEO-021 | Title TH: 'ลายขิดริ้วคั่นซิ่นไทพวน' | Folder in Drive: 'ลายขิดริ้วคั่นซิ่นไทพวน1' | Doc: 'ลายขิดริ้วคั่นซิ่นไทพวน1_ลายขิดริ้วคั่นซิ่นไทพวน .docx'
ID: TSP-LST-GEO-022 | Title TH: 'ดาวเพดานไม้แกะสลักประดับกระจก' | Folder in Drive: 'ดาวเพดาน วัดใหญ่' | Doc: 'ดาวเพดาน วัดใหญ่_การวิเคราะห์ภาพสถาปัตยกรรมจากไฟล์ พระพุทธชินราช034.docx'
ID: TSP-LST-GEO-023 | Title TH: 'ลายขิดโคมสี่เหลี่ยมขนมเปียกปูน' | Folder in Drive: 'ลายขิดโคมสี่เหลี่ยมขนมเปียกปูน' | Doc: 'ลายขิดโคมสี่เหลี่ยมขนมเปียกปูน_การวิเคราะห์ลายขิดโคมสี่เหลี่ยมขนมเปียกปูน.docx'
ID: TSP-LST-NAT-029 | Title TH: 'ลายใบไม้สามแฉกก้านคดกับกากบาทรูปใบกลาง' | Folder in Drive: 'ลายกระเบื้องวัดใหญ่ 3' | Doc: 'ลายกระเบื้องวัดใหญ่ 3_การวิเคราะห์ลวดลายบนแผ่นกระเบื้องโบราณจากศิลปวัตถุในไฟล์แนบ.docx'
ID: TSP-LST-NAT-030 | Title TH: 'ลายกระเบื้องวัดใหญ่ 2' | Folder in Drive: 'ลายกระเบื้องวัดใหญ่ 2' | Doc: 'ลายกระเบื้องวัดใหญ่ 2_การวิเคราะห์เลายกระเบื้องวัดใหญ่ 2.docx'
ID: TSP-LST-NAT-031 | Title TH: 'ลายใบไม้สามแฉกบนกระเบื้องโบราณ' | Folder in Drive: 'ลายกระเบื้องวัดใหญ่ 1' | Doc: 'ลายกระเบื้องวัดใหญ่ 1_การวิเคราะห์ลวดลายบนแผ่นกระเบื้องโบราณจากศิลปวัตถุในไฟล์แนบ.docx'
ID: TSP-LST-NAT-032 | Title TH: 'ดอกไม้ร่วง สีทอง' | Folder in Drive: 'ดอกไม้ร่วง สีทอง' | Doc: 'ดอกไม้ร่วง สีทอง_การวิเคราะห์เจาะลึกลวดลาย.docx'
ID: TSP-LST-NAT-033 | Title TH: 'ลายดอกจันกากบาทกลีบพัด' | Folder in Drive: 'ดาวสี่แฉกหลักไขว้ซ้อน' | Doc: 'ดาวสี่แฉกหลักไขว้ซ้อน_การวิเคราะห์ภาพดาวสี่แฉกหลักไขว้ซ้อน.docx'
ID: TSP-LST-NAT-034 | Title TH: 'ลายดอกจันหน้าหมอนตารางหมากรุก (หกดวง)' | Folder in Drive: 'ลายดอกจันหน้าหมอนตารางหมากรุก (หกดวง)' | Doc: 'ลายดอกจันหน้าหมอนตารางหมากรุก (หกดวง)_การวิเคราะห์ภาพลายดอกจันหน้าหมอนตารางหมากรุก (หกดวง) .docx'
ID: TSP-LST-NAT-035 | Title TH: 'ลายดอกจันดาวแปดแฉก' | Folder in Drive: 'ลายดอกจันดาวแปดแฉก ' | Doc: 'ลายดอกจันดาวแปดแฉก _การวิเคราะห์ภาพลายดอกจันดาวแปดแฉก .docx'
ID: TSP-LST-NAT-036 | Title TH: 'ลายดอกซิก' | Folder in Drive: 'ลายดอกซิก' | Doc: 'ลายดอกซิก_วิเคราะห์ลายดอกซิก .docx'
ID: TSP-LST-NAT-037 | Title TH: 'ลายดอกจันแฉกแดงพื้นขาว' | Folder in Drive: 'ลายดอกจันแฉกแดงพื้นขาว' | Doc: 'ลายดอกจันแฉกแดงพื้นขาว_การวิเคราะห์ภาพลายดอกจันแฉกแดงพื้นขาว.docx'
ID: TSP-LST-NAT-038 | Title TH: 'ลายดอกจันกลีบโค้งเว้า' | Folder in Drive: 'ลายดอกจันกลีบโค้งเว้า ' | Doc: 'ลายดอกจันกลีบโค้งเว้า _การวิเคราะห์ภาพลายดอกจันกลีบโค้งเว้า .docx'
ID: TSP-LST-NAT-039 | Title TH: 'ลายดอกจันกังหันเวียนสลับสี' | Folder in Drive: 'ลายกังหันดอกจันหมุนสลับสี' | Doc: 'ลายกังหันดอกจันหมุนสลับสี_การวิเคราะห์ภาพลายกังหันดอกจันหมุนสลับสี .docx'
ID: TSP-LST-NAT-040 | Title TH: 'ลายขิดดอกพิกุล' | Folder in Drive: 'ลายดอกแก้วแปดกลีบ' | Doc: 'ลายดอกแก้วแปดกลีบ_ลายดอกแก้วแปดกลีบ.docx'
ID: TSP-LST-NAT-041 | Title TH: 'ลายดอกจันกังหันแปดแฉก' | Folder in Drive: 'ลายดอกจันกังหันแปดแฉก' | Doc: 'ลายดอกจันกังหันแปดแฉก_การวิเคราะห์ภาพลายดอกจันกังหันแปดแฉก .docx'
ID: TSP-LST-NAT-042 | Title TH: 'ลายดอกจันกลีบขาว' | Folder in Drive: 'ลายดอกจันกลีบขาว' | Doc: 'ลายดอกจันกลีบขาว_การวิเคราะห์ภาพลายดอกจันกลีบขาว.docx'
ID: TSP-LST-NAT-043 | Title TH: 'ลายแตงโม' | Folder in Drive: 'ลายแตงโม-ผ้า' | Doc: 'ลายแตงโม-ผ้า_จากการวิเคราะห์ภาพลายแตงโม ผ้า.docx'
ID: TSP-LST-NAT-044 | Title TH: 'ลายดอกจัน' | Folder in Drive: 'ลายดอกจัน' | Doc: 'ลายดอกจัน_การวิเคราะห์ภาพลายดอกจัน 01.docx'
ID: TSP-LST-FAU-016 | Title TH: 'ลายมังกรนูนต่ำ' | Folder in Drive: 'มังกร' | Doc: 'มังกร_การวิเคราะห์ลวดลายมังกร.docx'
ID: TSP-LST-FAU-017 | Title TH: 'ลายขิดนาคและโคมเรขาคณิต' | Folder in Drive: 'ลายขิดนาค' | Doc: 'ลายขิดนาค_ลายนาค.docx'
ID: TSP-LST-FAU-018 | Title TH: 'ลายม้า' | Folder in Drive: 'ม้า-ลายผ้า' | Doc: 'ม้า-ลายผ้า_9.2 แบบฟอร์มแฟกต์ชีตสัญลักษณ์.docx'
ID: TSP-LST-FAU-019 | Title TH: 'ลายขิดมกรและโคมเรขาคณิต' | Folder in Drive: 'ลายขิดมกร' | Doc: 'ลายขิดมกร_ลายขิดมกร.docx'
ID: TSP-LST-FAU-020 | Title TH: 'ลายผ้าหงส์คู่' | Folder in Drive: 'ลายผ้าหงส์คู่' | Doc: 'ลายผ้าหงส์คู่_9.2 แบบฟอร์มแฟกต์ชีต-ลายผ้าหงส์คู่.docx'
ID: TSP-LST-FAU-021 | Title TH: 'ลายขิดคชลักษณ์และโคมเรขาคณิต' | Folder in Drive: 'ลายขิดช้าง' | Doc: 'ลายขิดช้าง_ลายขิดช้าง.docx'
ID: TSP-LST-FAU-022 | Title TH: 'ลายนกคุ้ม' | Folder in Drive: 'ลายผ้านกคุ้ม' | Doc: 'ลายผ้านกคุ้ม_9.2 แบบฟอร์มแฟกต์ชีต-นกคุ้ม.docx'
ID: TSP-LST-FAU-023 | Title TH: 'ลายขิดกนกสัตวลักษณ์เรขาคณิต' | Folder in Drive: 'ผ้าทอมือลายขิดนกยูง' | Doc: 'ผ้าทอมือลายขิดนกยูง_การวิเคราะห์และบันทึกระเบียนข้อมูลจากไฟล์ภาพสิ่งทอ DSC04328.docx'
ID: TSP-LST-FAU-024 | Title TH: 'ลายขิดก้างปลาและโคมเรขาคณิต' | Folder in Drive: 'ลายขิดก้างปลา' | Doc: 'ลายขิดก้างปลา_วิเคราะห์ลายขิดกางปลา.docx'
ID: TSP-LST-FAU-025 | Title TH: 'ลายช้าง' | Folder in Drive: 'ช้าง-ลายผ้า' | Doc: 'ช้าง-ลายผ้า_9.2 แบบฟอร์มแฟกต์ชีต-=hk'.docx'
